date,value
2016-07-01,880.6020013093948
2016-07-02,1099.2360025644302
2016-07-03,1369.033002257347
2016-07-04,1392.4149949550629
2016-07-05,1507.3019952774048
2016-07-06,1447.3319944739342
2016-07-07,1529.21499812603
2016-07-08,1504.0549956560135
2016-07-09,1494.7280034422874
2016-07-10,1416.3420042395592
2016-07-11,1406.96699988842
2016-07-12,1499.592005878687
2016-07-13,1616.349995970726
2016-07-14,1396.3580034598708
2016-07-15,1287.9320042282343
2016-07-16,1232.4019984453917
2016-07-17,1377.360004350543
2016-07-18,1489.665000885725
2016-07-19,1355.0329967439175
2016-07-20,1450.7469968795776
2016-07-21,1597.0310014635324
2016-07-22,1676.4050021767616
2016-07-23,1665.8580127954483
2016-07-24,1854.8650042414665
2016-07-25,1654.4360013976693
2016-07-26,1722.121009171009
2016-07-27,1746.9790053218603
2016-07-28,1832.9139984846115
2016-07-29,1815.5400049462914
2016-07-30,1917.8340054899454
2016-07-31,2064.9840517044067
2016-08-01,1725.324000313878
2016-08-02,1685.360001012683
2016-08-03,1218.1799966618419
2016-08-04,1411.9869945645332
2016-08-05,1562.3529870510101
2016-08-06,1655.2200108766556
2016-08-07,1606.5889918208122
2016-08-08,1687.4149895906448
2016-08-09,1763.4130045175552
2016-08-10,1695.516008079052
2016-08-11,1648.1909990906715
2016-08-12,1706.5139937996864
2016-08-13,1802.4530024528503
2016-08-14,1743.1489970684052
2016-08-15,1790.6580058336258
2016-08-16,1666.379004240036
2016-08-17,1720.5490092635155
2016-08-18,1827.5460087060928
2016-08-19,1921.5350046157837
2016-08-20,1689.350994348526
2016-08-21,1488.3459949493408
2016-08-22,1500.2960003614426
2016-08-23,1522.8580003380775
2016-08-24,1532.521996319294
2016-08-25,1563.777995467186
2016-08-26,1341.709004163742
2016-08-27,1330.8109957575798
2016-08-28,1176.1749956607819
2016-08-29,1222.7770001888275
2016-08-30,1401.9179967045784
2016-08-31,1477.5840339660645
2016-09-01,1395.8130009174347
2016-09-02,1374.5159975886345
2016-09-03,1465.68400233984
2016-09-04,1282.0999990701675
2016-09-05,1315.1990061998367
2016-09-06,1127.0740008950233
2016-09-07,1065.3399986028671
2016-09-08,1216.374999165535
2016-09-09,1307.7069989442825
2016-09-10,1292.9819987416267
2016-09-11,1284.6599940657616
2016-09-12,1140.1619978547096
2016-09-13,1266.8590025901794
2016-09-14,1160.3929938673973
2016-09-15,979.528003513813
2016-09-16,799.0119947195053
2016-09-17,1066.1919952630997
2016-09-18,1237.6410042643547
2016-09-19,1118.0129998326302
2016-09-20,1172.982996404171
2016-09-21,1146.7049956917763
2016-09-22,1103.3090074658394
2016-09-23,1104.886997103691
2016-09-24,1246.153002679348
2016-09-25,1211.0570005178452
2016-09-26,1247.1799988746643
2016-09-27,1219.3080005645752
2016-09-28,1083.2979945838451
2016-09-29,698.3739983141422
2016-09-30,895.0159996151924
2016-10-01,983.0130031406879
2016-10-02,893.5049994960427
2016-10-03,1053.5969923138618
2016-10-04,1098.753994166851
2016-10-05,1187.1900020241737
2016-10-06,1093.5999988913536
2016-10-07,1013.7819971442223
2016-10-08,1078.1769989728928
2016-10-09,1005.9049963951111
2016-10-10,1050.7149984240532
2016-10-11,980.1799999475479
2016-10-12,924.043003320694
2016-10-13,957.0810002684593
2016-10-14,993.6569983884692
2016-10-15,930.6389970704913
2016-10-16,1051.54199680686
2016-10-17,981.9119995236397
2016-10-18,893.5810024738312
2016-10-19,968.009998768568
2016-10-20,775.4360047280788
2016-10-21,943.9829946756363
2016-10-22,724.7749986052513
2016-10-23,859.8349957354367
2016-10-24,1082.4850006699562
2016-10-25,890.7859973758459
2016-10-26,913.370997428894
2016-10-27,989.5719955563545
2016-10-28,775.7489979416132
2016-10-29,752.6170000433922
2016-10-30,726.7559982165694
2016-10-31,959.663987159729
2016-11-01,648.3440021723509
2016-11-02,715.3370012640953
2016-11-03,1000.9060051068664
2016-11-04,927.7090004980564
2016-11-05,976.738002538681
2016-11-06,848.5200054645538
2016-11-07,842.2489976286888
2016-11-08,667.3759963959455
2016-11-09,659.6699990481138
2016-11-10,852.533002436161
2016-11-11,949.7429992258549
2016-11-12,935.8759964108467
2016-11-13,976.6140052378178
2016-11-14,966.2340001165867
2016-11-15,971.3160002231598
2016-11-16,903.3499980866909
2016-11-17,990.3460001051426
2016-11-18,990.9310018420219
2016-11-19,1221.839004099369
2016-11-20,831.9069999456406
2016-11-21,957.5270028859377
2016-11-22,781.6710015833378
2016-11-23,715.813996642828
2016-11-24,754.9689987003803
2016-11-25,771.2060016095638
2016-11-26,865.3700017929077
2016-11-27,977.8280003070831
2016-11-28,1047.0729954242706
2016-11-29,912.0880010426044
2016-11-30,996.168996155262
2016-12-01,942.6310025677085
2016-12-02,903.3800000995398
2016-12-03,979.3340001255274
2016-12-04,1087.347001709044
2016-12-05,485.37800142914057
2016-12-06,-28.350999742746353
2016-12-07,27.513000279664993
2016-12-08,684.9649992361665
2016-12-09,808.8410020470619
2016-12-10,762.9249991774559
2016-12-11,636.5319985300303
2016-12-12,796.0059960186481
2016-12-13,563.2909997403622
2016-12-14,784.6990039497614
2016-12-15,753.7590005099773
2016-12-16,762.5709976702929
2016-12-17,853.704001031816
2016-12-18,814.5959967523813
2016-12-19,866.4760006293654
2016-12-20,637.6330019682646
2016-12-21,593.5679970085621
2016-12-22,592.2139977514744
2016-12-23,781.1559987068176
2016-12-24,706.0669995099306
2016-12-25,542.0020026862621
2016-12-26,639.040998287499
2016-12-27,716.5600002259016
2016-12-28,733.9489980265498
2016-12-29,785.801000572741
2016-12-30,781.0240001678467
2016-12-31,926.0160214304924
2017-01-01,751.1610057801008
2017-01-02,675.6489953696728
2017-01-03,729.5819991901517
2017-01-04,680.0240002572536
2017-01-05,615.8270010948181
2017-01-06,533.3989992141724
2017-01-07,600.5829975306988
2017-01-08,735.8090020865202
2017-01-09,735.999002635479
2017-01-10,663.9100030362606
2017-01-11,639.3310008272529
2017-01-12,763.9580018743873
2017-01-13,645.9940005987883
2017-01-14,571.634999409318
2017-01-15,613.2449993491173
2017-01-16,586.2660010457039
2017-01-17,698.9669991582632
2017-01-18,707.1079980134964
2017-01-19,735.7600025832653
2017-01-20,479.8849973231554
2017-01-21,615.2899999544024
2017-01-22,561.7170020639896
2017-01-23,403.17700096964836
2017-01-24,318.94200287759304
2017-01-25,450.6780005842447
2017-01-26,474.00699803233147
2017-01-27,529.0180024802685
2017-01-28,424.141999155283
2017-01-29,522.5000015795231
2017-01-30,368.2630021572113
2017-01-31,561.5760061740875
2017-02-01,543.205000191927
2017-02-02,505.70599976181984
2017-02-03,624.6319982111454
2017-02-04,612.3839961886406
2017-02-05,536.3610000610352
2017-02-06,398.0699999630451
2017-02-07,486.5890007019043
2017-02-08,519.7649984955788
2017-02-09,445.51800053566694
2017-02-10,386.4650000408292
2017-02-11,402.07700289040804
2017-02-12,412.658004373312
2017-02-13,514.3150033801794
2017-02-14,467.61199875175953
2017-02-15,425.6010030210018
2017-02-16,557.5230005681515
2017-02-17,703.0899962484837
2017-02-18,543.1800002232194
2017-02-19,566.9750043228269
2017-02-20,628.8269976377487
2017-02-21,434.536999553442
2017-02-22,575.0740012824535
2017-02-23,559.3320004120469
2017-02-24,668.6569983363152
2017-02-25,515.3380006477237
2017-02-26,564.7659980803728
2017-02-27,509.3260026425123
2017-02-28,535.5780026763678
